,combination,memory,cpu,elapse
0,2,79.59765625,1.2,1.0054798126220703
1,3,79.66796875,3.0,2.013267993927002
2,4,79.6796875,2.2,3.02516508102417
3,5,79.6875,1.1,4.035621881484985
4,6,79.6796875,0.8,5.05282998085022
5,7,79.72265625,1.0,6.074051856994629
6,8,79.80078125,2.4,7.096013069152832
7,9,79.80859375,2.3,8.119654893875122
8,10,79.8125,2.2,9.145878076553345
9,11,79.84765625,1.7,10.174340724945068
10,12,79.9140625,1.0,11.205128908157349
11,13,79.9453125,3.6,12.2413649559021
12,14,80.0625,3.1,13.278800964355469
13,15,80.0625,1.1,14.321911096572876
14,16,80.078125,3.1,15.364722967147827
15,17,80.109375,2.1,16.405048847198486
16,18,80.11328125,3.4,17.45341682434082
17,19,80.1484375,7.8,18.499891996383667
18,20,80.15625,11.2,19.554879903793335
19,21,80.15625,6.4,20.610063791275024
20,22,80.1875,3.6,21.669766902923584
21,23,80.234375,4.7,22.732366800308228
22,24,80.2421875,5.3,23.79573893547058
23,24,80.25,5.4,24.857204914093018
24,24,80.25,3.5,25.91979694366455
25,24,80.25,13.9,26.981677055358887
26,24,80.25390625,10.9,28.046520709991455
27,23,80.28515625,4.3,29.114075899124146
28,22,80.28515625,4.9,30.176897048950195
29,21,80.3046875,4.3,31.2353458404541
30,20,80.39453125,10.6,32.29786491394043
31,19,80.3984375,4.7,33.35299897193909
32,18,80.4375,7.5,34.423243045806885
33,17,80.4375,2.1,35.466058015823364
34,16,80.4375,5.6,36.50335478782654
35,15,80.46875,18.3,37.53670406341553
36,14,80.46875,12.6,38.575952768325806
37,13,80.46875,16.8,39.61179280281067
38,12,80.46875,12.3,40.64440083503723
39,11,80.46875,5.2,41.685003995895386
40,10,80.46875,7.4,42.719305992126465
41,9,80.46875,4.9,43.752596855163574
42,8,80.46875,6.2,44.77360677719116
43,7,80.46875,13.5,45.79925298690796
44,6,80.46875,6.9,46.82104992866516
45,5,80.46875,11.0,47.8361759185791
46,4,80.46875,5.6,48.85440492630005
47,3,80.46875,8.8,49.87187671661377
48,2,80.46875,13.6,50.886385917663574
49,1,80.46875,10.3,51.89422273635864
