,time,RMSE
0,50,1.3834318814370186
1,100,1.0161771441371048
2,150,0.858901299166717
3,200,0.9956247658886528
4,250,0.9929665951730583
5,300,0.922991223780848
6,350,0.6908711380325566
7,400,0.45978056753051816
8,450,0.38060403560880185
9,500,0.42763353771385815
10,550,0.5684493012594155
11,600,0.6029053337383734
12,650,0.6193411842048735
13,700,0.6720644598781781
14,750,0.8394627947673744
15,800,0.7805321727068215
16,850,0.6943556388359006
17,900,0.7298381378414117
18,950,0.7667339105877701
19,1000,0.7669741669174951
