,time,RMSE
0,50,0.9028964202564437
1,100,0.8361720888358181
2,150,0.6776410799253582
3,200,0.6546267687069495
4,250,0.85733924461272
5,300,1.2309508783789596
6,350,1.4418918283534026
7,400,1.4340636557554762
8,450,1.2842861986886314
9,500,1.1902259783599929
10,550,1.03452080705547
11,600,0.9585461344657412
12,650,0.8702996110882466
13,700,0.9467862333775864
14,750,0.8712480877476295
15,800,0.6684794365121292
16,850,0.5888664474122148
17,900,0.6165922090647155
18,950,0.5744250970533863
19,1000,0.5295229102352634
