,calculation_time
0,0.27109313011169434
1,1.6625769138336182
2,2.8953208923339844
3,4.164592027664185
4,5.477030038833618
5,6.809091091156006
6,8.115214109420776
7,9.377443790435791
8,10.670470952987671
9,11.98568606376648
10,13.180736064910889
11,14.461392879486084
12,15.696497917175293
13,16.94003701210022
14,18.24932098388672
15,19.488647937774658
16,20.809934854507446
17,22.013347148895264
18,23.36751389503479
19,24.648648023605347
