,time,RMSE
0,50,1.285103885005203
1,100,1.1031039032915857
2,150,1.085106764012768
3,200,0.9756681045544412
4,250,1.0289903210168034
5,300,1.080195731518289
6,350,1.038307128138609
7,400,1.022290306569538
8,450,0.9646361178037006
9,500,0.8890395955678878
10,550,0.7916067494063089
11,600,0.7998317154905772
12,650,0.7790427947024412
13,700,0.8244221253028151
14,750,0.8086266446492766
15,800,0.7334727178503702
16,850,0.6909701361647006
17,900,0.6861407088040843
18,950,0.6468411649569256
19,1000,0.6024828108461703
