,0
0,77.21875
1,77.38671875
2,77.5234375
3,77.72265625
4,77.9140625
5,78.1640625
6,78.37109375
7,78.57421875
8,78.72265625
9,78.9140625
10,79.1328125
11,79.3984375
12,79.578125
13,79.7421875
14,80.015625
15,80.14453125
16,80.41796875
17,80.76171875
18,81.1484375
19,81.67578125
