,0
0,77.2265625
1,77.37890625
2,77.49609375
3,77.63671875
4,77.8046875
5,77.95703125
6,78.09375
7,78.28125
8,78.4453125
9,78.55078125
10,78.65234375
11,78.74609375
12,78.93359375
13,79.09375
14,79.2890625
15,79.5
16,79.6953125
17,79.9140625
18,80.12890625
19,80.3125
20,80.64453125
21,80.83203125
22,81.0703125
23,81.41796875
24,81.66015625
25,81.77734375
26,82.140625
27,82.61328125
28,82.71875
29,82.54296875
30,82.72265625
31,82.83984375
32,82.93359375
33,83.06640625
34,83.2421875
35,83.33203125
36,83.42578125
37,83.73828125
38,83.83203125
39,84.046875
40,84.1484375
41,84.28125
42,84.41015625
43,84.5
44,84.6953125
45,84.79296875
46,84.92578125
47,85.078125
48,85.16015625
49,85.25390625
50,85.5
51,85.6171875
52,85.72265625
53,85.87890625
54,86.06640625
55,86.1484375
56,86.4765625
57,86.57421875
58,86.66015625
59,86.8671875
60,87.03125
61,87.11328125
62,87.234375
63,87.48046875
64,87.57421875
65,87.6953125
66,87.80078125
67,87.93359375
68,88.0859375
69,88.1953125
70,88.53125
71,88.625
72,88.73828125
73,88.84765625
74,88.953125
75,89.02734375
76,89.21875
77,89.3203125
78,89.41015625
79,89.546875
80,89.875
81,89.98046875
82,90.07421875
83,90.171875
84,90.2890625
85,90.38671875
86,90.5625
87,90.6640625
88,90.76171875
89,90.921875
90,91.30859375
91,91.4375
92,91.55859375
93,91.65234375
94,91.7109375
95,91.859375
96,92.046875
97,92.13671875
98,92.25390625
99,92.32421875
100,92.48046875
101,93.00390625
102,93.12890625
103,93.2265625
104,93.31640625
105,93.44140625
106,93.54296875
107,93.640625
108,93.828125
109,93.953125
110,94.08984375
111,94.1953125
112,94.3203125
113,94.7265625
114,94.828125
115,94.96875
116,95.0703125
117,95.1796875
118,95.32421875
119,95.39453125
120,95.50390625
121,95.6953125
122,95.77734375
123,96.0234375
124,96.12890625
125,96.21484375
126,96.3203125
127,96.421875
128,96.94921875
129,97.0234375
130,97.13671875
131,97.25390625
132,97.33984375
133,97.4140625
134,97.5234375
135,97.6171875
136,97.69140625
137,97.7890625
138,97.90234375
139,97.98046875
140,98.2734375
141,98.35546875
142,98.5078125
143,98.59765625
144,99.09765625
145,99.2109375
146,99.30078125
147,99.41015625
148,99.50390625
149,99.8359375
150,99.9453125
151,100.06640625
152,100.1875
153,100.31640625
154,100.55859375
155,100.63671875
156,100.79296875
157,100.9140625
158,100.9921875
159,101.08984375
160,101.265625
161,101.6953125
162,101.80859375
163,101.88671875
164,101.99609375
165,102.1171875
166,102.19921875
167,102.32421875
168,102.61328125
169,102.703125
170,102.828125
171,102.93359375
172,103.109375
173,103.234375
174,103.3203125
175,103.42578125
176,103.58984375
177,103.6953125
178,103.8203125
179,103.921875
180,104.00390625
181,104.12890625
182,104.7421875
183,104.8515625
184,104.97265625
185,105.078125
186,105.16796875
187,105.3203125
188,105.41796875
189,105.53515625
190,105.64453125
191,105.72265625
192,105.84375
193,105.953125
194,106.04296875
195,106.1484375
196,106.2890625
197,106.37109375
198,106.6953125
199,106.80859375
