,calculation_time
0,0.1860969066619873
1,0.3392796516418457
2,0.5707807540893555
3,0.7527987957000732
4,0.9640450477600098
5,1.2207019329071045
6,1.4671027660369873
7,1.708791971206665
8,1.9897027015686035
9,2.2751588821411133
10,2.4793567657470703
11,2.6921157836914062
12,2.8843648433685303
13,3.112962007522583
14,3.3413238525390625
15,3.577789783477783
16,3.828033924102783
17,4.076878786087036
18,4.237788915634155
19,4.376162052154541
20,4.534538984298706
21,4.717753648757935
22,4.891938924789429
23,5.0264928340911865
24,5.18662691116333
25,5.347908020019531
26,5.503558874130249
27,5.688144683837891
28,5.853490829467773
29,6.0405049324035645
30,6.307552814483643
31,6.58192777633667
32,6.749380111694336
33,6.926958084106445
34,7.201296806335449
35,7.525464057922363
36,7.7185657024383545
37,7.920913934707642
38,8.150834798812866
39,8.329489707946777
40,8.531744003295898
41,8.751882791519165
42,8.938479661941528
43,9.093158721923828
44,9.265069961547852
45,9.460814714431763
46,9.637592077255249
47,9.791602849960327
48,9.939768075942993
49,10.100478887557983
50,10.263109683990479
51,10.429181814193726
52,10.581228971481323
53,10.723511934280396
54,10.931636810302734
55,11.108754873275757
56,11.31530475616455
57,11.502426862716675
58,11.664707899093628
59,11.83200979232788
60,12.066933870315552
61,12.29232406616211
62,12.477175951004028
63,12.696735858917236
64,12.928327798843384
65,13.131223917007446
66,13.344468832015991
67,13.553467750549316
68,13.78212285041809
69,13.967605829238892
70,14.161832809448242
71,14.331953763961792
72,14.52906084060669
73,14.71920394897461
74,14.888529777526855
75,15.066925048828125
76,15.241775035858154
77,15.434468746185303
78,15.602696895599365
79,15.747882843017578
80,15.977806806564331
81,16.12572169303894
82,16.28930687904358
83,16.474486827850342
84,16.66024374961853
85,16.82970380783081
86,16.968348741531372
87,17.159873962402344
88,17.36389398574829
89,17.549522876739502
90,17.730501890182495
91,17.929065942764282
92,18.133156061172485
93,18.325176000595093
94,18.475515842437744
95,18.683692932128906
96,18.893664836883545
97,19.08584189414978
98,19.244499921798706
99,19.37388801574707
100,19.590112924575806
101,19.851890802383423
102,20.035770893096924
103,20.218331813812256
104,20.41831684112549
105,20.648292779922485
106,20.856262922286987
107,21.059940814971924
108,21.24932599067688
109,21.41190481185913
110,21.579720973968506
111,21.752196788787842
112,21.96067190170288
113,22.11870288848877
114,22.28619694709778
115,22.494234800338745
116,22.699399948120117
117,22.882280826568604
118,23.091115951538086
119,23.22506070137024
120,23.39415192604065
121,23.574340105056763
122,23.734637022018433
123,23.88546395301819
124,24.055304765701294
125,24.187089920043945
126,24.360679864883423
127,24.51654076576233
128,24.691250801086426
129,24.850136041641235
130,25.0326189994812
131,25.200946807861328
132,25.35160183906555
133,25.50157380104065
134,25.63553285598755
135,25.78346085548401
136,25.94905686378479
137,26.083448886871338
138,26.241036891937256
139,26.39517879486084
140,26.56648898124695
141,26.731247663497925
142,26.922702074050903
143,27.105361700057983
144,27.30494475364685
145,27.495842933654785
146,27.639375686645508
147,27.792401790618896
148,27.976780891418457
149,28.135576009750366
150,28.310335874557495
151,28.486703872680664
152,28.677382707595825
153,28.862428903579712
154,29.043001651763916
155,29.181212902069092
156,29.363954782485962
157,29.54168701171875
158,29.735864877700806
159,29.884623765945435
160,30.079222917556763
161,30.22311806678772
162,30.37246298789978
163,30.51223397254944
164,30.68540382385254
165,30.83184289932251
166,31.00390386581421
167,31.171310901641846
168,31.321162939071655
169,31.502147912979126
170,31.689201831817627
171,31.88407588005066
172,32.080660820007324
173,32.296414852142334
174,32.454938888549805
175,32.61635088920593
176,32.82077383995056
177,33.05002999305725
178,33.22834086418152
179,33.43581795692444
180,33.673099994659424
181,33.90621590614319
182,34.15664482116699
183,34.37906193733215
184,34.64166879653931
185,34.92645072937012
186,35.17290186882019
187,35.36007881164551
188,35.54948592185974
189,35.745152950286865
190,35.9566650390625
191,36.12830877304077
192,36.310842752456665
193,36.504140853881836
194,36.70394992828369
195,36.94776177406311
196,37.158315896987915
197,37.33765387535095
198,37.623481035232544
199,37.928727865219116
