,0
0,77.16015625
1,77.3046875
2,77.4453125
3,77.59375
4,77.77734375
5,77.91796875
6,78.08984375
7,78.19921875
8,78.375
9,78.55859375
10,78.73828125
11,78.90625
12,79.0234375
13,79.21484375
14,79.32421875
15,79.5234375
16,79.64453125
17,79.890625
18,80.0
19,80.27734375
20,80.3671875
21,80.7734375
22,81.0
23,81.12890625
24,81.62109375
25,81.8046875
26,82.15234375
27,82.54296875
28,82.8125
29,82.4296875
30,82.578125
31,82.68359375
32,82.8046875
33,82.90234375
34,83.21875
35,83.4296875
36,83.5234375
37,83.625
38,83.83984375
39,83.96875
40,84.09765625
41,84.21484375
42,84.3828125
43,84.58984375
44,84.6953125
45,84.796875
46,84.8984375
47,85.03125
48,85.3046875
49,85.390625
50,85.5
51,85.62890625
52,85.734375
53,85.84765625
54,85.96484375
55,86.1953125
56,86.30859375
57,86.44140625
58,86.67578125
59,86.7890625
60,86.890625
61,86.98828125
62,87.38671875
63,87.46484375
64,87.59375
65,87.765625
66,87.84765625
67,87.9609375
68,88.04296875
69,88.171875
70,88.48828125
71,88.62109375
72,88.70703125
73,88.87109375
74,88.9609375
75,89.046875
76,89.17578125
77,89.265625
78,89.421875
79,89.7265625
80,89.83984375
81,90.0
82,90.11328125
83,90.34375
84,90.48828125
85,90.56640625
86,90.67578125
87,90.796875
88,91.13671875
89,91.2265625
90,91.32421875
91,91.421875
92,91.5625
93,91.81640625
94,91.91015625
95,92.01171875
96,92.10546875
97,92.21875
98,92.33984375
99,92.5703125
100,92.72265625
101,92.82421875
102,92.9453125
103,93.046875
104,93.140625
105,93.5078125
106,93.6015625
107,93.7265625
108,93.8046875
109,93.91015625
110,93.984375
111,94.25390625
112,94.3828125
113,94.52734375
114,94.62890625
115,94.7421875
116,94.84375
117,94.9453125
118,95.046875
119,95.37109375
120,95.46484375
121,95.6171875
122,95.69921875
123,95.7890625
124,95.9140625
125,95.98046875
126,96.3203125
127,96.41796875
128,96.63671875
129,96.73046875
130,96.828125
131,96.953125
132,97.08203125
133,97.18359375
134,97.29296875
135,97.62109375
136,97.71875
137,97.86328125
138,97.94140625
139,98.01953125
140,98.1796875
141,98.26953125
142,98.546875
143,98.6484375
144,98.75390625
145,98.84765625
146,98.93359375
147,99.0546875
148,99.15234375
149,99.29296875
150,99.390625
151,99.5
152,99.87890625
153,99.96875
154,100.05859375
155,100.19140625
156,100.2890625
157,100.38671875
158,100.48046875
159,100.59375
160,100.6875
161,101.421875
162,101.53125
163,101.66796875
164,101.78125
165,101.875
166,101.99609375
167,102.07421875
168,102.19921875
169,102.3125
170,102.40625
171,102.66015625
172,102.77734375
173,102.89453125
174,103.0234375
175,103.1328125
176,103.1953125
177,103.3203125
178,103.42578125
179,103.51953125
180,103.6328125
181,104.375
182,104.46875
183,104.5859375
184,104.7109375
185,104.82421875
186,104.8828125
187,105.0234375
188,105.125
189,105.2109375
190,105.31640625
191,105.4453125
192,105.52734375
193,105.92578125
194,106.03515625
195,106.125
196,106.2421875
197,106.3515625
198,106.42578125
199,106.51953125
