,calculation_time
0,0.1964261531829834
1,0.3377382755279541
2,0.5623950958251953
3,0.7583341598510742
4,0.9326119422912598
5,1.219778060913086
6,1.4465429782867432
7,1.6583480834960938
8,1.865386962890625
9,2.123478889465332
10,2.42451810836792
11,2.63525390625
12,2.8832740783691406
13,3.1116762161254883
14,3.3665599822998047
15,3.5983200073242188
16,3.8900961875915527
17,4.105425119400024
18,4.290556192398071
19,4.478900909423828
20,4.6284379959106445
21,4.816404104232788
22,5.001734018325806
23,5.175328969955444
24,5.33916711807251
25,5.547256946563721
26,5.714938163757324
27,5.908003091812134
28,6.17457914352417
29,6.421044111251831
30,6.640526056289673
31,6.7992329597473145
32,7.018649101257324
33,7.303441047668457
34,7.5821311473846436
35,7.80120587348938
36,8.019083023071289
37,8.228002071380615
38,8.409829139709473
39,8.629803895950317
40,8.85103988647461
41,9.047142028808594
42,9.234206199645996
43,9.433704137802124
44,9.625837087631226
45,9.784816026687622
46,9.96583604812622
47,10.146918058395386
48,10.315461158752441
49,10.484441995620728
50,10.64931607246399
51,10.787755966186523
52,10.966389894485474
53,11.144493103027344
54,11.29669713973999
55,11.45645809173584
56,11.625470161437988
57,11.822482109069824
58,12.05321216583252
59,12.292393922805786
60,12.478358030319214
61,12.698390007019043
62,12.889645099639893
63,13.123893976211548
64,13.327491998672485
65,13.504333019256592
66,13.692507982254028
67,13.870578050613403
68,14.02305006980896
69,14.184789896011353
70,14.372019052505493
71,14.555564880371094
72,14.764482021331787
73,14.962890863418579
74,15.117753982543945
75,15.299384117126465
76,15.48502492904663
77,15.665640115737915
78,15.878706216812134
79,16.100062131881714
80,16.26567006111145
81,16.42905306816101
82,16.613983869552612
83,16.811257123947144
84,16.98905897140503
85,17.15361499786377
86,17.358267068862915
87,17.53923511505127
88,17.72907519340515
89,17.918029069900513
90,18.073281049728394
91,18.24612808227539
92,18.454818964004517
93,18.67359709739685
94,18.88230013847351
95,19.05997610092163
96,19.224714994430542
97,19.409893035888672
98,19.60916495323181
99,19.842053174972534
100,20.053840160369873
101,20.253283977508545
102,20.45657706260681
103,20.67790198326111
104,20.849727869033813
105,21.035660982131958
106,21.22884488105774
107,21.37083625793457
108,21.537862062454224
109,21.68519425392151
110,21.87237286567688
111,22.04084014892578
112,22.221095085144043
113,22.373312950134277
114,22.55713391304016
115,22.70861506462097
116,22.886351108551025
117,23.05000591278076
118,23.19774293899536
119,23.354284048080444
120,23.527743101119995
121,23.700993061065674
122,23.870043992996216
123,24.02768611907959
124,24.16614603996277
125,24.308470010757446
126,24.47293996810913
127,24.632528066635132
128,24.801383018493652
129,24.953359127044678
130,25.118125915527344
131,25.293911933898926
132,25.45884108543396
133,25.6233389377594
134,25.789223194122314
135,25.958297967910767
136,26.143474102020264
137,26.314175844192505
138,26.47332501411438
139,26.64451003074646
140,26.811098098754883
141,26.97362494468689
142,27.129008054733276
143,27.26507306098938
144,27.401095151901245
145,27.54120707511902
146,27.692034006118774
147,27.85027003288269
148,28.013471126556396
149,28.20636296272278
150,28.34981393814087
151,28.51611614227295
152,28.668276071548462
153,28.837695837020874
154,28.978365182876587
155,29.167205095291138
156,29.349083185195923
157,29.501410007476807
158,29.663154125213623
159,29.82994818687439
160,29.981288194656372
161,30.169027090072632
162,30.34504008293152
163,30.530644178390503
164,30.700990200042725
165,30.86798620223999
166,31.031723022460938
167,31.177610158920288
168,31.360435247421265
169,31.532639265060425
170,31.712958097457886
171,31.872241020202637
172,32.079647064208984
173,32.298327922821045
174,32.49091196060181
175,32.667638063430786
176,32.86200428009033
177,33.02483105659485
178,33.213016986846924
179,33.431252241134644
180,33.687315225601196
181,33.89701008796692
182,34.115745067596436
183,34.35293412208557
184,34.61697196960449
185,34.88758325576782
186,35.05604696273804
187,35.2494900226593
188,35.41420888900757
189,35.58299422264099
190,35.77976894378662
191,35.96091628074646
192,36.10716009140015
193,36.31050705909729
194,36.49136805534363
195,36.686291217803955
196,36.92998003959656
197,37.10977101325989
198,37.27394914627075
199,37.46989297866821
