,0
0,77.2109375
1,77.3828125
2,77.53125
3,77.69921875
4,77.875
5,78.0546875
6,78.20703125
7,78.3359375
8,78.4921875
9,78.66796875
10,78.796875
11,78.98828125
12,79.19921875
13,79.32421875
14,79.5625
15,79.8046875
16,80.0078125
17,80.09765625
18,80.3203125
19,80.4375
20,80.58984375
21,80.95703125
22,81.19921875
23,81.546875
24,81.69140625
25,81.9765625
26,82.35546875
27,82.48046875
28,82.46875
29,82.61328125
30,82.73046875
31,82.8515625
32,83.0078125
33,83.28125
34,83.390625
35,83.55078125
36,83.73046875
37,83.89453125
38,84.03515625
39,84.11328125
40,84.2890625
41,84.46484375
42,84.62109375
43,84.7578125
44,84.87109375
45,85.00390625
46,85.15625
47,85.37109375
48,85.4921875
49,85.58203125
50,85.75
51,85.94140625
52,86.046875
53,86.30859375
54,86.3828125
55,86.47265625
56,86.60546875
57,86.703125
58,86.80859375
59,86.9375
60,87.29296875
61,87.359375
62,87.4609375
63,87.5859375
64,87.70703125
65,87.83984375
66,87.9375
67,88.1015625
68,88.19921875
69,88.66796875
70,88.7578125
71,88.890625
72,88.98046875
73,89.078125
74,89.203125
75,89.31640625
76,89.43359375
77,89.8515625
78,89.953125
79,90.07421875
80,90.18359375
81,90.28515625
82,90.3984375
83,90.578125
84,90.69140625
85,90.80859375
86,90.91015625
87,91.265625
88,91.3671875
89,91.4453125
90,91.56640625
91,91.65234375
92,91.84375
93,92.00390625
94,92.125
95,92.234375
96,92.39453125
97,92.4921875
98,92.90234375
99,93.0546875
100,93.16015625
101,93.30078125
102,93.38671875
103,93.5
104,93.6640625
105,93.90234375
106,94.0234375
107,94.1171875
108,94.22265625
109,94.34765625
110,94.7265625
111,94.8203125
112,94.984375
113,95.1171875
114,95.21484375
115,95.31640625
116,95.3984375
117,95.49609375
118,95.6171875
119,95.890625
120,96.00390625
121,96.0859375
122,96.203125
123,96.3125
124,96.703125
125,96.8359375
126,97.1015625
127,97.18359375
128,97.3046875
129,97.3984375
130,97.515625
131,97.65234375
132,97.78515625
133,98.109375
134,98.20703125
135,98.30078125
136,98.41796875
137,98.5234375
138,98.6015625
139,98.92578125
140,99.05078125
141,99.2265625
142,99.33984375
143,99.44140625
144,99.5625
145,99.6640625
146,99.796875
147,99.87890625
148,100.03515625
149,100.30859375
150,100.421875
151,100.52734375
152,100.63671875
153,100.71484375
154,100.83203125
155,100.92578125
156,101.25390625
157,101.390625
158,101.47265625
159,101.65625
160,101.84765625
161,101.92578125
162,102.0234375
163,102.1328125
164,102.2578125
165,102.36328125
166,102.609375
167,102.70703125
168,102.9140625
169,103.01953125
170,103.1015625
171,103.21484375
172,103.31640625
173,103.55078125
174,103.640625
175,103.7421875
176,104.34375
177,104.4296875
178,104.5546875
179,104.6796875
180,104.80078125
181,104.8984375
182,105.01171875
183,105.1171875
184,105.22265625
185,105.32421875
186,105.5
187,105.60546875
188,105.71484375
189,105.984375
190,106.0625
191,106.171875
192,106.3046875
193,106.40234375
194,106.50390625
195,106.80859375
196,106.91796875
197,106.98828125
198,107.72265625
199,107.83203125
