,0
0,77.0625
1,77.18359375
2,77.296875
3,77.41015625
4,77.55078125
5,77.7109375
6,77.83984375
7,77.98046875
8,78.14453125
9,78.3203125
10,78.46875
11,78.65625
12,78.81640625
13,78.953125
14,79.12890625
15,79.30859375
16,79.55078125
17,79.703125
18,79.92578125
19,80.1640625
20,80.38671875
21,80.74609375
22,81.11328125
23,81.3359375
24,81.60546875
25,81.98828125
26,82.05859375
27,82.3515625
28,82.70703125
29,82.7890625
30,83.04296875
31,82.6953125
32,82.84765625
33,82.953125
34,83.12109375
35,83.328125
36,83.5625
37,83.6640625
38,83.859375
39,83.96484375
40,84.171875
41,84.265625
42,84.33203125
43,84.5859375
44,84.734375
45,84.83984375
46,85.05859375
47,85.16015625
48,85.34765625
49,85.46484375
50,85.55078125
51,85.82421875
52,85.8984375
53,85.99609375
54,86.2265625
55,86.328125
56,86.43359375
57,86.5390625
58,86.765625
59,86.83984375
60,86.96875
61,87.28515625
62,87.359375
63,87.4609375
64,87.55078125
65,87.69921875
66,87.8671875
67,87.984375
68,88.15234375
69,88.4375
70,88.55078125
71,88.65625
72,88.7734375
73,88.86328125
74,89.09375
75,89.18359375
76,89.29296875
77,89.7578125
78,89.8515625
79,89.9609375
80,90.0625
81,90.16015625
82,90.30859375
83,90.51171875
84,90.609375
85,90.70703125
86,90.796875
87,91.140625
88,91.2421875
89,91.3125
90,91.4140625
91,91.5234375
92,91.6015625
93,91.7265625
94,91.93359375
95,92.04296875
96,92.1328125
97,92.234375
98,92.34375
99,92.70703125
100,92.80859375
101,93.0078125
102,93.10546875
103,93.1953125
104,93.30078125
105,93.52734375
106,93.71875
107,93.8515625
108,93.921875
109,94.0234375
110,94.109375
111,94.390625
112,94.5078125
113,94.671875
114,94.80859375
115,94.8984375
116,95.0
117,95.1171875
118,95.21875
119,95.5
120,95.6015625
121,95.71484375
122,95.7890625
123,95.9375
124,96.015625
125,96.25
126,96.34375
127,96.41015625
128,96.6640625
129,96.7421875
130,96.86328125
131,96.95703125
132,97.06640625
133,97.19140625
134,97.3515625
135,97.62109375
136,97.7109375
137,97.82421875
138,97.9296875
139,98.04296875
140,98.125
141,98.24609375
142,98.61328125
143,98.69921875
144,98.9609375
145,99.0625
146,99.23046875
147,99.359375
148,99.48046875
149,99.60546875
150,99.828125
151,99.94921875
152,100.234375
153,100.30859375
154,100.40234375
155,100.5390625
156,100.609375
157,100.76171875
158,101.17578125
159,101.28125
160,101.41796875
161,101.5390625
162,101.61328125
163,101.765625
164,101.90234375
165,101.98828125
166,102.1171875
167,102.1953125
168,102.28515625
169,102.515625
170,102.59375
171,102.67578125
172,102.984375
173,103.08984375
174,103.1796875
175,103.296875
176,103.41015625
177,103.48828125
178,103.6640625
179,104.15625
180,104.265625
181,104.36328125
182,104.55078125
183,104.640625
184,104.7265625
185,104.8515625
186,104.953125
187,105.07421875
188,105.1796875
189,105.29296875
190,105.37890625
191,105.7265625
192,105.7890625
193,106.25390625
194,106.375
195,106.453125
196,106.5703125
197,106.6640625
198,106.765625
199,106.875
