from_id,to_id,distance
0,1,196.08671551127577
0,2,118.51160280748886
0,3,200.55173896029922
0,4,242.03305559365234
0,5,277.46170906991836
0,6,125.25573839150046
0,7,248.3646512690564
0,8,24.515301344262525
0,9,241.16799124261908
1,2,138.2208377922808
1,3,392.21550198838395
1,4,201.20139164528658
1,5,84.0535543567314
1,6,190.77997798511248
1,7,172.93062192682936
1,8,217.8003673091485
1,9,400.2848985410267
2,3,277.7804888756588
2,4,126.57408897558773
2,5,219.31712199461307
2,6,203.19448811422026
2,7,271.31162894354526
2,8,142.35167719419397
2,9,265.33940529065785
3,4,362.0842443410097
3,5,475.4808092867682
3,6,295.0423698386386
3,7,436.89815746922073
3,8,184.50474248647376
3,9,122.96747537458837
4,5,256.12692166189794
4,6,326.54708695684303
4,7,368.14263540100865
4,8,264.592138961081
4,9,306.8191649815898
5,6,248.65236777477105
5,7,176.32356620712955
5,8,298.0
5,9,483.4511350695125
6,7,144.81022063376605
6,8,124.1933975700802
6,9,360.855926929294
7,8,256.55019002136794
7,9,489.25351301753574
8,9,236.86494041964082
