,combination,memory,cpu,elapse
0,2,623.68359375,43.9,1.0027289390563965
1,3,628.6875,44.5,2.0072829723358154
2,4,629.58203125,44.4,3.010244131088257
3,5,630.24609375,43.9,4.016993045806885
4,6,630.7265625,44.3,5.021646022796631
5,7,631.2890625,45.4,6.028453826904297
6,8,631.765625,44.0,7.036198854446411
7,9,632.24609375,44.7,8.039708852767944
8,10,632.76171875,45.2,9.045732021331787
9,11,633.328125,57.5,10.051194906234741
10,12,633.69140625,46.2,11.057736873626709
11,13,634.0390625,46.7,12.064818859100342
12,14,634.3359375,47.8,13.074579954147339
13,15,634.65234375,44.3,14.081793069839478
14,16,634.98828125,45.9,15.090789794921875
15,17,635.265625,54.4,16.100863933563232
16,18,635.57421875,44.5,17.110794067382812
17,19,636.1171875,48.7,18.120764017105103
18,20,636.56640625,47.4,19.13180708885193
19,21,636.97265625,51.4,20.13958191871643
20,22,637.38671875,51.2,21.149936199188232
21,23,637.8046875,50.4,22.157868146896362
22,24,638.234375,45.9,23.172610998153687
23,25,638.58203125,47.1,24.181817054748535
24,26,638.95703125,51.2,25.190939903259277
25,25,639.3125,58.6,26.202621936798096
26,24,639.66015625,46.7,27.21444821357727
27,23,639.91796875,47.9,28.226041078567505
28,22,640.18359375,57.8,29.237093210220337
29,21,640.4765625,63.0,30.248324155807495
30,20,640.69140625,51.8,31.259752988815308
31,19,640.89453125,51.6,32.27259802818298
32,18,641.12890625,46.9,33.28625679016113
33,17,641.39453125,51.5,34.29376196861267
34,16,641.50390625,80.1,35.30169486999512
35,15,641.67578125,67.9,36.31609606742859
36,14,641.828125,63.9,37.32749319076538
37,13,641.921875,48.8,38.33784604072571
38,12,642.0390625,46.4,39.34624695777893
39,11,642.1875,57.2,40.3534209728241
40,10,642.32421875,57.3,41.360891819000244
41,9,642.51171875,60.7,42.37125611305237
42,8,642.6875,53.8,43.37942290306091
43,7,642.8359375,47.2,44.385794162750244
44,6,642.94140625,55.4,45.39277791976929
45,5,643.08203125,53.5,46.40056014060974
46,4,643.19921875,58.7,47.40751600265503
47,3,643.32421875,49.0,48.414555072784424
48,2,643.4453125,49.4,49.42132210731506
49,1,643.546875,50.2,50.42700004577637
